recno,id,xpos,ypos,RAJ2000,DEJ2000,SE,IsoArea,FKsap,e_FKsap,apcorr,KsR,FKsapD,e_FKsapD,apcorrD,FKsD,e_FKsD,FKsauto,R50,amaj,bmin,Rad,FKsall,e_FKsall,w_FKsall,FB,e_FB,w_FB,Fg,e_Fg,w_Fg,Fi,e_Fi,w_Fi,IA427,e_IA427,w_IA427,IA484,e_IA484,w_IA484,IA505,e_IA505,w_IA505,IA527,e_IA527,w_IA527,IA624,e_IA624,w_IA624,IA709,e_IA709,w_IA709,IA738,e_IA738,w_IA738,Fr,e_Fr,w_Fr,Fu,e_Fu,w_Fu,FV,e_FV,w_FV,FRp,e_FRp,w_FRp,Fz,e_Fz,w_Fz,FZp,e_FZp,w_FZp,FHl,e_FHl,w_FHl,FHs,e_FHs,w_FHs,FJ1,e_FJ1,w_FJ1,FJ2,e_FJ2,w_FJ2,FJ3,e_FJ3,w_FJ3,FKs,e_FKs,w_FKs,NB118,e_NB118,w_NB118,NB209,e_NB209,w_NB209,F125W,e_F125W,w_F125W,F140W,e_F140W,w_F140W,F160W,e_F160W,w_F160W,F606W,e_F606W,w_F606W,F814W,e_F814W,w_F814W,FJvista,e_FJvista,w_FJvista,FHvista,e_FHvista,w_FHvista,FKsvista,e_FKsvista,w_FKsvista,FYvista,e_FYvista,w_FYvista,F3.6,e_F3.6,w_F3.6,F4.5,e_F4.5,w_F4.5,F5.8,e_F5.8,w_F5.8,F8.0,e_F8.0,w_F8.0,wminOpt,wminHST1,wminfs,wminjhk,wminHST2,wminIRAC,wminall,Star,Nghb,Use,SNR,zspec,Simbad,U,eU,V,eV,J,eJ,zpk,lssfr,lmass,field,mag_U,mag_V,mag_J,e_mag_U,e_mag_V,e_mag_J,GalaxyType
745,745,3823.484,329.301,150.0869751,2.1864257,3,143.0,3.20827,0.11766,1.091841,2.477515,3.2373,0.11095,1.646582,5.33048,0.18268,7.27995,3.319,3.349,2.527,8.436,7.94854,0.43636,0.53,0.281089,0.02722,1.0,0.430146,0.03694,1.0,2.39413,0.0439,1.0,0.202101,0.1062,1.0,0.407931,0.092,1.0,0.430248,0.10769,1.0,0.55193,0.08665,1.0,1.05581,0.09112,1.0,2.00845,0.11155,1.0,1.88694,0.13342,1.0,1.07495,0.03871,1.0,0.13373,0.05455,1.0,0.64623,0.04695,1.0,1.16827,0.04267,1.0,3.17005,0.12908,1.0,3.37697,0.15758,1.0,7.73072,0.61263,0.3,7.21319,0.65161,0.24,4.54321,0.35223,0.17,4.97969,0.34053,0.16,5.10832,0.43376,0.22,8.38725,0.78586,0.15,4.55167,0.6402,0.34,5.81335,1.2622,0.38,4.83421,0.05636,5.64,,,0.0,6.22377,0.07053,3.1,0.896,0.08516,1.0,2.79833,0.09295,1.0,5.09924,0.19165,1.0,7.17137,0.28188,1.0,8.38855,0.24875,1.01,3.98429,0.12639,1.01,7.37336,0.18206,0.94,4.75283,0.18655,1.09,-13.66308,5.34985,0.92,-7.28807,6.00834,1.15,1.0,0.0,1.0,0.53,1.0,0.88,0.53,0,0,1,29.17869,,b'Simbad',0.2784,0.0150677,1.21368,0.0372155,2.98821,0.0112554,0.6649,-10.54,9.29,COSMOS_,26.38832692265369,24.789739511639624,23.811472213061556,29.55488258811538,28.573190354431702,29.871597665540065,0.0
1065,1065,2162.302,420.169,150.1562347,2.1902037,3,140.0,3.46285,0.10792,1.124413,2.375435,3.41826,0.10176,1.646582,5.62845,0.16756,7.31562,3.179,2.993,2.75,6.943,8.22578,0.32374,0.63,0.104345,0.02597,1.0,0.234485,0.03556,1.0,2.13912,0.04221,1.0,0.0742109,0.10123,1.0,0.158105,0.08827,1.0,0.0940764,0.10378,1.0,0.321305,0.0828,1.0,0.820286,0.08753,1.0,1.54103,0.1074,1.0,1.73883,0.12694,1.0,0.8388,0.03691,1.0,0.0438809,0.05216,1.0,0.39711,0.04516,1.0,0.89154,0.04114,1.0,2.96071,0.12297,1.0,2.70308,0.15168,1.0,6.53667,0.44104,0.53,6.27206,0.44791,0.46,3.73308,0.31577,0.2,4.20965,0.23998,0.3,5.16584,0.32705,0.36,8.3278,0.53386,0.3,5.57417,0.45455,0.62,7.31956,0.9114,0.67,4.73987,0.17107,0.54,,,0.0,6.4269,0.16469,0.53,0.78922,0.08163,1.02,2.40128,0.08984,1.0,5.34436,0.18299,1.01,6.90797,0.27322,1.01,8.07069,0.23796,1.01,3.97944,0.12202,1.01,8.44598,0.19637,1.16,5.60504,0.19568,1.16,-1.36761,4.86262,1.04,-2.99078,6.76926,0.94,1.0,0.0,1.0,0.63,1.01,0.99,0.63,0,0,1,33.59084,,b'Simbad',0.207295,0.0183354,1.12202,0.0399386,2.89023,0.0359447,0.668,,9.23,COSMOS_,26.70852793264038,24.874998504285596,23.84766898847517,29.341774027880227,28.496517907184266,28.610912841814816,0.0
1380,1380,2293.829,515.499,150.1507416,2.1941762,0,104.0,3.00429,0.09517,1.17114,2.049359,3.21942,0.08975,1.646582,5.30104,0.14777,5.25715,2.546,2.55,2.4,5.764,6.15686,0.23613,0.81,0.066321,0.0224,1.0,0.0216132,0.03066,1.0,0.912438,0.03642,1.0,-0.0174876,0.0875,1.0,0.0176083,0.0761,1.0,0.143171,0.08965,1.0,0.136279,0.0715,1.0,0.351977,0.07537,1.0,0.40728,0.09275,1.0,0.61133,0.10952,1.0,0.31859,0.03182,1.0,-0.0303925,0.04513,1.0,0.13217,0.03898,1.0,0.43744,0.03548,1.0,1.70142,0.10635,1.0,1.71268,0.13085,1.0,4.26857,0.29327,0.89,4.56603,0.28765,0.82,2.24528,0.16061,0.58,2.99157,0.14248,0.63,3.16811,0.20808,0.66,5.65507,0.32108,0.62,3.002,0.32369,0.91,5.36024,0.64041,1.01,3.23368,0.10783,1.01,,,0.0,4.27761,0.10133,1.03,0.31314,0.05794,1.5,1.1792,0.06418,1.46,3.15195,0.15806,1.01,4.74749,0.2359,1.01,5.79395,0.20573,1.01,2.2693,0.10522,1.01,7.95175,0.15835,1.21,5.60601,0.18539,1.16,-1.01958,4.21591,1.04,8.09957,6.01449,0.93,1.0,0.0,1.46,0.81,1.01,1.0,0.81,0,0,1,35.87282,,b'Simbad',0.211429,0.0132523,0.917774,0.0265047,2.3152,0.011437,0.968,,9.4,COSMOS_,26.68708861073385,25.09316062443863,24.088528715562596,29.694271853256915,28.94169276769801,29.854219697229034,0.0
1402,1402,2472.952,515.49,150.14328,2.1941769,0,146.0,3.21137,0.09891,1.106754,2.574031,2.91719,0.09327,1.646582,4.80339,0.15357,7.46884,3.588,3.682,2.501,7.647,8.26617,0.32921,0.75,0.465689,0.02817,1.0,0.513274,0.03849,1.0,2.23711,0.04577,1.0,0.160023,0.10997,1.0,0.437592,0.09558,1.0,0.453075,0.11267,1.0,0.449515,0.08989,1.0,1.05556,0.09472,1.0,1.71383,0.11658,1.0,2.12837,0.13757,1.0,1.03407,0.03996,1.0,0.468617,0.0568,1.0,0.65958,0.04893,1.0,1.03051,0.04453,1.0,3.04875,0.13372,1.0,3.18965,0.16419,1.0,6.13104,0.47792,0.53,5.67825,0.44582,0.54,4.25588,0.24312,0.4,4.22199,0.21667,0.43,5.11817,0.31988,0.44,8.22332,0.45844,0.48,4.07187,0.51827,0.56,4.02115,1.12102,0.52,5.00858,0.13408,1.03,,,0.0,5.98831,0.12741,1.02,0.85872,0.07869,1.28,2.50678,0.08479,1.32,4.86551,0.19974,1.0,6.42816,0.29635,1.01,8.20325,0.26053,1.0,4.08655,0.13208,1.01,8.40351,0.18814,1.22,5.51533,0.20317,1.13,13.06245,4.48608,1.18,1.50378,5.62211,1.2,1.0,0.0,1.28,0.75,1.0,1.13,0.75,0,0,1,31.27806,,b'Simbad',0.369773,0.0223293,1.31203,0.0295909,3.07488,0.0684402,0.7842,-9.93,9.43,COSMOS_,26.080162008084773,24.70514058639956,23.780429570741525,29.127812228472592,28.822104564194596,27.91172182502016,0.0
1435,1435,4359.794,544.397,150.0646057,2.1953895,3,35.0,1.06666,0.09029,1.367544,2.037218,1.12429,0.08514,1.646582,1.85124,0.14019,1.589,2.352,1.867,1.508,3.91,2.17303,0.16167,0.9,0.724592,0.02223,1.0,0.659179,0.03047,1.0,1.08864,0.03623,1.0,0.611636,0.08753,1.0,0.854575,0.07567,1.0,0.689237,0.08876,1.0,0.744984,0.07146,1.0,0.876274,0.0746,1.0,0.796956,0.09179,1.0,0.78686,0.1092,1.0,0.75078,0.03172,1.0,0.580885,0.04492,1.0,0.78775,0.03863,1.0,0.82438,0.03525,1.0,1.67598,0.10624,1.0,1.6045,0.1295,1.0,2.01128,0.27271,1.02,2.50916,0.26759,0.94,2.86155,0.13631,0.78,2.18536,0.12255,0.83,1.98535,0.17817,0.87,2.06602,0.28001,0.82,1.62219,0.30245,1.03,2.53343,0.60455,1.12,1.93485,0.04471,6.18,,,0.0,2.40027,0.05744,3.2,0.89648,0.09507,0.54,1.42289,0.10477,0.54,1.93609,0.16111,0.95,2.04311,0.23985,0.94,2.28779,0.21076,0.95,2.2823,0.10735,0.95,3.96876,0.31993,0.52,2.68054,0.28923,0.9,-10.40576,7.05502,0.94,1.59724,7.6201,1.06,1.0,0.0,0.54,0.9,0.94,0.9,0.9,0,0,1,13.2052,,b'Simbad',0.454792,0.000181539,0.789128,0.00599079,0.997143,0.00127077,1.1452,-9.36,8.88,COSMOS_,25.855467958390907,25.25713136654871,25.003106387928153,34.352575152942606,30.556289759545063,32.239832616081074,1.0
1460,1460,3536.219,537.476,150.0989532,2.1950979,0,118.0,3.81234,0.09079,1.15688,2.125636,4.01468,0.08562,1.646582,6.6105,0.14098,7.00473,2.699,2.829,2.386,6.054,8.10364,0.23645,0.89,0.308074,0.02339,1.0,0.488356,0.03171,1.0,1.93866,0.03775,1.0,0.295914,0.09167,1.0,0.489685,0.07887,1.0,0.445797,0.09253,1.0,0.502121,0.07438,1.0,0.960063,0.07808,1.0,1.77276,0.09575,1.0,1.63579,0.11485,1.0,0.92393,0.03308,1.0,0.323931,0.04689,1.0,0.60295,0.04026,1.0,1.00155,0.0366,1.0,2.69635,0.11083,1.0,2.93234,0.1351,1.0,7.06904,0.2948,0.95,6.12237,0.28464,0.91,3.64653,0.14466,0.75,4.27675,0.13164,0.78,4.68126,0.19203,0.81,7.46662,0.30294,0.75,4.82847,0.32688,0.96,7.29096,0.64839,1.06,4.7694,0.11265,1.01,5.34993,0.22187,0.9,5.98412,0.10685,0.99,0.87468,0.06551,1.25,2.20188,0.06887,1.35,4.68354,0.16586,0.99,6.28832,0.24478,0.99,7.95523,0.21627,0.99,3.39076,0.10992,0.99,7.50545,0.16769,1.13,4.89543,0.16938,1.02,-8.8184,4.04618,1.31,1.97325,4.92639,1.38,1.0,0.75,1.25,0.89,0.99,1.25,0.89,0,0,1,46.89115,,b'Simbad',0.269009,0.0108923,1.04651,0.0226924,2.67707,0.00798772,0.6905,-10.11,9.4,COSMOS_,26.42558297485502,24.950641543434905,23.930850681841903,29.907201014145844,29.110298924276613,30.243942918024313,0.0
1563,1563,4509.566,544.483,150.0583649,2.1953933,0,337.0,8.37832,0.08979,1.079637,3.276791,7.40776,0.08467,1.646582,12.19749,0.13942,25.42892,4.447,5.569,2.844,9.273,27.454,0.37022,0.91,0.76433,0.03578,1.0,0.880789,0.04896,1.0,4.40266,0.05827,1.0,0.576988,0.14065,1.0,0.596363,0.12162,1.0,1.0557,0.1429,1.0,1.19885,0.11509,1.0,1.86802,0.12016,1.0,2.65028,0.14788,1.0,3.695,0.17543,1.0,1.83386,0.05096,1.0,0.557023,0.07228,1.0,1.2296,0.06209,1.0,1.82562,0.05679,1.0,6.88522,0.17065,1.0,7.379,0.2082,1.0,19.24223,0.44043,1.02,18.04191,0.43163,0.94,9.94671,0.21431,0.82,11.2481,0.19614,0.84,13.37319,0.28646,0.87,27.11182,0.45401,0.81,12.83955,0.48414,1.04,27.5422,0.9812,1.1,12.1657,0.10929,2.61,,,0.0,16.8659,0.09142,3.24,1.54819,0.15284,0.54,5.14051,0.16884,0.54,12.96967,0.25794,0.96,18.93754,0.37787,0.98,27.14009,0.34123,0.94,8.81321,0.17208,0.96,37.8367,0.25012,0.46,28.8082,0.22279,0.82,26.71455,5.39744,1.18,6.23089,6.39513,1.19,1.0,0.0,0.54,0.91,0.94,1.13,0.91,0,0,1,87.48886,,b'Simbad',0.987757,0.0544617,3.51114,0.0666248,11.2015,0.0666248,0.9321,-10.49,9.96,COSMOS_,25.0133747097336,23.63637963381648,22.376809541962174,28.15977201614345,27.940910204163963,27.940910204163963,2.0
1571,1571,3800.93,562.187,150.0879059,2.1961286,3,90.0,1.58577,0.08835,1.093668,2.380756,1.62663,0.08331,1.646582,2.67838,0.13717,3.452,3.127,2.756,2.41,8.324,3.77534,0.32111,0.95,0.0700342,0.02611,1.0,0.0571567,0.03557,1.0,0.714801,0.0423,1.0,0.0555182,0.10268,1.0,0.283975,0.08838,1.0,0.151878,0.10358,1.0,0.128444,0.08328,1.0,0.174555,0.08726,1.0,0.320722,0.10709,1.0,0.48419,0.12853,1.0,0.27002,0.0371,1.0,0.0236834,0.05246,1.0,0.13125,0.04512,1.0,0.27705,0.04101,1.0,1.11042,0.12421,1.0,1.33497,0.15136,1.0,3.41704,0.31799,1.02,3.05845,0.30771,0.97,1.74052,0.15281,0.84,1.90726,0.14026,0.86,2.22828,0.20748,0.87,3.48349,0.32118,0.84,2.33753,0.35007,1.05,2.40297,0.71289,1.1,2.11238,0.05348,5.74,,,0.0,2.78529,0.06808,3.09,0.23355,0.08151,1.01,0.79415,0.08747,1.05,2.36299,0.18529,0.99,2.71183,0.27491,0.98,3.64931,0.24273,0.98,1.47752,0.12297,0.99,4.12329,0.20768,0.91,2.52395,0.17239,1.11,-5.52587,4.78152,1.05,-4.50289,5.6244,1.07,1.0,0.0,1.01,0.95,0.98,1.0,0.94,0,0,1,19.52527,,b'Simbad',0.114224,0.0170647,0.558458,0.0404832,1.30828,0.0214216,0.8614,-11.09,9.28,COSMOS_,27.3556065884637,25.632523708358956,24.70824824430836,29.41975335570183,28.48181291486392,29.172870236045643,0.0
1572,1572,992.048,580.0,150.2050323,2.1968553,0,32.0,0.69158,0.08565,1.199621,2.027846,0.71276,0.08077,1.646582,1.17361,0.133,1.16904,2.489,1.749,1.682,5.3,1.40241,0.19617,1.0,0.491142,0.0224,1.0,0.504217,0.03012,1.0,0.55573,0.03594,1.0,0.506811,0.08747,1.0,0.459395,0.07556,1.0,0.498423,0.08829,1.0,0.677857,0.07152,1.0,0.597974,0.074,1.0,0.511542,0.09209,1.0,0.69934,0.10948,1.0,0.98909,0.03135,1.0,0.42766,0.044,1.0,0.548,0.03875,1.0,0.51029,0.03545,1.0,0.682853,0.10475,1.0,0.64828,0.12997,1.0,1.77611,0.26693,1.07,1.31117,0.2584,1.02,1.15261,0.13315,0.81,1.3634,0.13215,0.72,0.98907,0.17782,0.88,1.20581,0.28369,0.8,1.10203,0.34596,0.78,1.45917,0.5913,1.16,,,0.0,,,0.0,,,0.0,0.56716,0.0696,1.02,0.50008,0.07802,0.97,1.35624,0.1553,1.03,1.5647,0.22824,1.04,1.25229,0.20046,1.03,0.75063,0.10294,1.04,1.31234,0.15234,0.91,0.938583,0.1905,0.64,-2.22342,4.07518,1.16,-4.35775,5.97515,0.87,1.0,0.0,0.97,1.0,1.03,1.11,1.0,0,0,1,8.824423,,b'Simbad',0.326119,0.00472001,0.475099,0.0103477,0.471217,0.00508309,1.661,-9.79,8.78,COSMOS_,26.216559745128784,25.80803970923371,25.816947624961273,30.815142703128647,29.9628904270421,30.73468050178232,1.0
1593,1593,4189.622,583.04,150.071701,2.1969988,0,35.0,0.68067,0.08882,1.358472,2.021302,0.79043,0.08376,1.646582,1.3015,0.13791,1.01279,2.189,1.832,1.569,3.95,1.37585,0.16003,0.93,0.60416,0.02206,1.0,0.582899,0.03025,1.0,0.700771,0.03596,1.0,0.494595,0.08698,1.0,0.593791,0.07511,1.0,0.59512,0.08802,1.0,0.588017,0.0708,1.0,0.544273,0.07396,1.0,0.514726,0.09098,1.0,0.64022,0.10864,1.0,0.65132,0.0315,1.0,0.552967,0.04454,1.0,0.57771,0.03835,1.0,0.60826,0.0349,1.0,0.680541,0.10549,1.0,0.7848,0.12851,1.0,1.30807,0.26234,1.08,0.89074,0.25298,1.03,0.83746,0.12567,0.9,1.09093,0.1153,0.92,1.15256,0.17076,0.93,1.38617,0.26466,0.9,1.17615,0.28778,1.12,1.17449,0.60525,1.1,1.2657,0.04431,6.21,,,0.0,1.29471,0.05657,3.25,0.73624,0.0757,0.84,0.78686,0.08691,0.77,1.18634,0.1592,0.96,1.44411,0.23553,0.96,1.30522,0.20685,0.97,0.87955,0.10594,0.96,1.42684,0.18629,0.61,1.47173,0.16304,0.98,-5.92992,4.50531,1.04,8.78569,5.92381,0.84,1.0,0.0,0.77,0.93,0.96,0.99,0.93,0,0,1,9.437326,,b'Simbad',0.313315,0.0108923,0.481641,0.0108923,0.51336,0.0032677,1.7818,-10.3,8.82,COSMOS_,26.26004703177685,25.793191376448565,25.723944934292163,29.907201014145844,29.907201014145844,31.21439455471038,1.0
1883,1883,2299.71,632.67,150.1504974,2.1990581,0,206.0,12.51718,0.08697,1.127036,2.313804,13.37102,0.08159,1.646582,22.01648,0.13435,25.69776,2.913,3.125,2.77,6.855,28.9623,0.25743,0.97,1.00659,0.02527,1.0,1.25755,0.03462,1.0,4.90427,0.04112,1.0,0.848569,0.09899,1.0,1.14232,0.08579,1.0,1.31389,0.10128,1.0,1.66687,0.0808,1.0,2.45647,0.08486,1.0,3.02698,0.10474,1.0,4.356,0.12381,1.0,2.34599,0.03593,1.0,0.911477,0.05101,1.0,1.77903,0.04406,1.0,2.41141,0.04008,1.0,7.56604,0.12023,1.0,7.88212,0.14777,1.0,20.92482,0.29634,1.11,18.75862,0.28058,1.09,9.96916,0.14674,0.89,11.6847,0.13585,0.88,15.72335,0.19862,0.92,28.41738,0.30266,0.89,13.80882,0.32369,1.16,24.8594,0.68058,1.14,14.172,0.12124,1.02,,,0.0,17.7587,0.11411,1.03,2.0277,0.0651,1.51,5.74946,0.07223,1.47,14.68887,0.17856,1.01,19.82821,0.26633,1.01,28.76167,0.23218,1.01,9.58064,0.11885,1.01,39.2634,0.16503,1.17,29.681,0.1935,1.09,22.23084,4.82425,0.96,20.64773,6.25037,0.8,1.0,0.0,1.47,0.97,1.01,0.92,0.97,0,0,1,163.8787,,b'Simbad',1.26573,0.037034,3.80023,0.0406647,11.7606,0.0157939,0.9595,-9.79,9.92,COSMOS_,24.744147315606824,23.550475294834264,22.32392630235846,28.578498444416702,28.47695606829678,29.5037765401878,2.0
2014,2014,535.192,652.074,150.2240753,2.1998549,3,306.0,11.01942,0.09761,1.082783,2.716629,10.33528,0.09205,1.646582,17.01788,0.15156,27.64698,3.724,4.31,3.49,9.037,29.93567,0.39095,0.77,0.847782,0.02991,1.0,1.10592,0.04032,1.0,3.94597,0.0483,1.0,1.02455,0.11663,1.0,1.31015,0.10067,1.0,1.2056,0.11859,1.0,1.30596,0.09572,1.0,1.87251,0.09924,1.0,2.32255,0.12405,1.0,3.7244,0.14543,1.0,1.9498,0.0422,1.0,0.871528,0.05916,1.0,1.38575,0.05189,1.0,1.8198,0.04735,1.0,6.00371,0.14031,1.0,6.42427,0.17437,1.0,19.59838,0.36952,1.01,16.7783,0.3611,0.92,8.51787,0.21046,0.58,11.3619,0.41348,0.13,14.46164,0.26389,0.72,27.46802,0.4441,0.6,,,0.0,25.9185,0.79558,1.15,,,0.0,,,0.0,,,0.0,1.58829,0.12941,0.52,4.39894,0.14477,0.51,13.28707,0.21441,0.97,18.66522,0.305,1.03,29.35075,0.30077,0.83,8.16223,0.14924,0.89,45.6094,0.1892,0.78,37.4763,0.32803,0.28,39.08423,4.67435,1.12,21.22853,5.84883,1.13,1.0,0.0,0.51,0.77,0.83,1.07,0.77,0,0,1,112.2826,,b'Simbad',0.992659,0.0219662,3.44218,0.0600894,11.7537,0.0824187,0.9779,-8.68,10.05,COSMOS_,25.00799978876217,23.65791605773848,22.324563495898378,29.145612666275177,28.053005331121426,27.709935599840364,2.0
3240,3240,4790.318,943.473,150.0466614,2.212018,0,89.0,1.7632,0.08835,1.130947,2.336471,1.86814,0.08331,1.646582,3.07605,0.13717,3.64267,2.943,2.64,2.338,6.733,4.11967,0.25661,0.94,1.60813,0.02552,1.0,1.70101,0.03498,1.0,3.27583,0.04163,1.0,1.56278,0.1002,1.0,1.49991,0.08638,1.0,1.7977,0.10246,1.0,1.61728,0.08214,1.0,2.69502,0.08578,1.0,2.90038,0.10613,1.0,3.38124,0.12608,1.0,2.41843,0.03633,1.0,1.70722,0.0513,1.0,1.68508,0.0443,1.0,2.55788,0.04058,1.0,3.36647,0.12138,1.0,3.6055,0.14809,1.0,4.43785,0.37282,0.74,3.85729,0.32829,0.83,4.06207,0.13638,1.04,4.07549,0.12849,0.99,4.06875,0.19565,0.94,4.1287,0.28049,1.08,4.09951,0.46226,0.58,3.85437,1.00792,0.53,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,3.58296,0.19794,0.85,3.71422,0.28262,0.89,,,0.72,3.53135,0.13824,0.77,3.74517,0.26313,0.36,2.89718,0.22433,0.65,-4.09621,4.48996,1.1,-6.4838,5.52349,0.94,1.0,0.0,0.0,0.94,0.72,1.05,0.94,0,0,1,22.42433,,b'Simbad',0.741347,0.0157939,1.24139,0.00580925,1.51417,0.00617233,0.6601,-8.9,8.6,COSMOS_,25.32494616388828,24.76522939347433,24.549563406678345,29.5037765401878,30.58969983334712,30.523877156721603,1.0
3371,3371,1350.577,987.263,150.1900787,2.2138262,0,29.0,0.50379,0.08058,1.383982,2.185071,0.5776,0.07598,1.646582,0.95106,0.12511,0.79539,2.223,2.076,1.303,3.832,1.10081,0.14244,1.13,0.445569,0.02396,1.0,0.416059,0.03257,1.0,0.492358,0.03872,1.0,0.491589,0.0945,1.0,0.324191,0.08109,1.0,0.419924,0.09514,1.0,0.396575,0.07708,1.0,0.403529,0.07947,1.0,0.420282,0.09856,1.0,0.41443,0.11809,1.0,0.41641,0.03389,1.0,0.450825,0.04775,1.0,0.43285,0.04169,1.0,0.4066,0.03808,1.0,0.864193,0.11362,1.0,0.93633,0.1401,1.0,1.35373,0.26471,1.25,1.26497,0.25161,1.22,1.13217,0.11607,1.26,0.924719,0.1074,1.23,1.2071,0.15938,1.24,1.27799,0.24416,1.22,1.073,0.30181,1.19,0.998772,0.63442,1.17,1.06124,0.11414,1.04,,,0.0,1.28109,0.10749,1.03,0.43671,0.06545,1.33,0.70136,0.06747,1.49,0.49512,0.16756,1.03,0.87394,0.24933,1.02,0.68576,0.21708,1.02,1.01776,0.11172,1.03,1.42731,0.15635,1.1,0.818248,0.17154,0.86,-0.52283,4.2295,1.03,-4.9463,4.94769,1.19,1.0,0.0,1.33,1.13,1.02,0.99,1.13,0,0,1,7.60169,,b'Simbad',0.221328,0.00526463,0.357105,0.00617233,0.484615,0.00290462,1.1673,-9.09,8.57,COSMOS_,26.637409101012512,26.11801017249335,25.78650786882888,30.69658036442739,30.523877156721603,31.34227669148696,1.0
